geneID,A375_8day_rep1,A375_8day_rep2,A375_8day_rep3,A375_0day_rep1,A375_0day_rep2,A375_0day_rep3,WM88_8day_rep1,WM88_8day_rep2,WM88_8day_rep3,WM88_0day_rep1,WM88_0day_rep2,WM88_0day_rep3,SKMEL5_8day_rep1,SKMEL5_8day_rep2,SKMEL5_8day_rep3,SKMEL5_0day_rep1,SKMEL5_0day_rep2,SKMEL5_0day_rep3,SKMEL28_8day_rep1,SKMEL28_8day_rep2,SKMEL28_8day_rep3,SKMEL28_0day_rep1,SKMEL28_0day_rep2,SKMEL28_0day_rep3
ABCC1,9965,7657,7359,4840,4146,6874,5966,7335,6180,3855,3931,3482,6830,7085,10029,4488,6482,6380,5969,5775,6533,4119,4120,5334
ABCC10,3288,2533,2804,1375,816,1457,2695,3356,3503,2131,1924,1798,2375,2485,3322,1782,2849,2906,2127,2023,2554,2169,3280,2137
ABCC11,21,24,15,12,4,11,46,101,3425,53,54,67,352,383,333,260,158,139,62,57,95,7,72,19
ABCC12,0,1,0,1,2,1,0,0,241,0,3,0,4,0,2,5,39,17,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABCC2,7848,5668,6734,457,428,1054,4422,6399,7369,3381,4324,3724,23062,23767,33605,9198,13857,11818,2163,2256,1777,3309,3501,4529
ABCC3,1007,788,521,435,363,777,0,1,0,1,1,1,8,63,2,0,152,178,19,2,1,2,0,4
ABCC4,2253,1602,1578,2411,2075,3629,2473,3952,3502,2729,3067,2886,4670,4748,5870,3835,5906,4952,6259,6216,4674,3030,5325,5034
ABCC5,3337,2521,2767,1983,1358,2279,4878,5998,6237,3012,3202,2778,5702,5580,7663,2350,3457,3411,11556,10714,11296,4274,2853,5025
ABCC5-AS1,0,0,1,0,2,2,0,0,12,0,3,1,5,5,4,7,3,4,2,2,8,7,3,0
ABCC6,57,25,27,16,7,14,21,10,18,5,10,4,12,16,30,15,13,15,11,16,12,3,15,9
ABCC6P1,4,3,4,1,0,2,1,0,0,0,0,0,0,0,3,4,7,1,0,0,1,0,3,0
ABCC6P2,1,8,3,12,8,9,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0
ABCC8,6,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,2,0
ABCC9,19,8,2,0,0,0,4,6,1,0,2,2,3,2,0,0,0,0,126,101,134,214,194,260
ABCD1,1330,1083,904,1365,804,1088,3335,4683,4202,5333,4938,5127,804,763,1128,1169,1773,2019,2536,1898,2575,8451,4061,6662
ABCD2,8,4,0,0,0,2,2,3,2,6,1,1,2,1,5,0,3,4,7,10,6,4,36,19
ABCD3,2195,1913,1899,2613,1690,3213,1860,3227,1342,2407,2756,2733,1767,1737,2358,1947,3330,2920,2106,1985,1401,2880,1857,4023
ABCD4,2994,2262,2326,2113,1088,1688,2012,2477,3211,1588,1399,1256,2944,3155,3885,1650,1960,1972,1921,1958,2202,1413,814,1495
ABCE1,4422,3584,3633,6724,5124,9558,2665,5233,1517,4528,5507,5365,3264,3353,4954,3725,5784,4808,1460,1280,907,3807,2161,6004
ABCF1,13838,10248,11287,15368,9450,13697,15082,19007,7659,18556,14990,15060,8584,7957,12291,8535,10588,11325,4527,3634,4208,9427,4541,9021
ABCF2,2013,1512,1632,1762,990,1555,2064,2131,562,1640,1289,1288,2282,2325,3667,1944,2440,3182,278,235,264,528,187,409
ABCF2-H2BK1,26,22,29,8,3,6,4,1,3,0,2,3,23,18,25,4,3,6,6,3,4,1,2,1
ABCF3,4517,3269,3592,3667,2206,3135,6687,8148,4404,5861,4866,4823,4351,4522,5964,3912,5378,5758,4966,3972,4602,6414,4384,5155
ABCG1,47,34,30,43,19,28,16,7,6,0,0,0,2,0,0,3,28,34,0,0,0,0,0,0
ABCG2,149,107,116,166,122,198,214,246,10,13,21,14,82,91,103,30,85,122,0,0,2,28,4,46
ABCG4,45,37,37,37,11,26,19,13,10,3,2,3,3,7,10,4,45,52,41,53,46,20,20,24
ABCG5,28,29,20,18,6,6,11,24,17,49,38,39,13,7,34,4,18,5,23,14,21,11,6,24
ABCG8,28,10,20,3,0,1,2,2,7,0,0,5,1,6,11,2,3,2,11,6,7,2,6,8
ABHD1,68,40,69,78,20,64,13,18,11,13,19,9,15,10,23,64,115,138,22,19,12,21,29,17
ABHD10,2602,1828,1781,3987,2055,3375,2630,3277,1323,3095,2747,2806,1487,1463,2047,1546,1984,1813,791,697,630,1499,1118,1941
ABHD11,797,611,603,1242,672,994,1555,2066,1807,1699,1297,1103,2274,2215,2952,2246,2952,3417,228,214,262,671,454,649
ABHD11-AS1,85,71,79,23,14,20,44,49,14,44,47,23,49,50,33,32,77,106,40,35,35,24,19,2
ABHD12,7343,5219,5281,5507,3237,5020,8323,9847,7981,6374,4413,4189,4937,5007,5749,5831,7140,7840,14638,12783,13994,11881,7029,10974
ABHD12B,134,98,101,59,23,64,18,60,60,28,25,42,15,19,24,15,15,11,73,80,63,26,56,35
ABHD13,2021,1788,1804,1598,958,1614,698,1080,967,616,919,806,1305,1388,1508,810,1444,1244,458,370,328,483,318,643
ABHD14A,459,359,363,388,206,330,298,407,727,362,284,300,336,383,418,344,417,454,377,255,338,337,690,263
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,7408,5514,6036,5800,4064,6826,11804,14030,6086,7199,6344,5772,2855,2805,3824,2068,2273,2469,4153,3104,3745,3025,2288,2996
