geneID,A375_8day_rep1,A375_8day_rep2,A375_8day_rep3,A375_0day_rep1,A375_0day_rep2,A375_0day_rep3,WM88_8day_rep1,WM88_8day_rep2,WM88_8day_rep3,WM88_0day_rep1,WM88_0day_rep2,WM88_0day_rep3,SKMEL5_8day_rep1,SKMEL5_8day_rep2,SKMEL5_8day_rep3,SKMEL5_0day_rep1,SKMEL5_0day_rep2,SKMEL5_0day_rep3,SKMEL28_8day_rep1,SKMEL28_8day_rep2,SKMEL28_8day_rep3,SKMEL28_0day_rep1,SKMEL28_0day_rep2,SKMEL28_0day_rep3
LOC105371952,10,9,5,16,8,9,17,23,14,7,8,12,19,24,16,12,26,25,8,8,2,5,6,0
LOC105371953,68,84,104,100,63,159,65,130,216,96,187,146,171,183,305,70,131,138,0,0,0,7,0,7
LOC105371954,66,74,59,63,55,97,77,159,287,111,178,173,4,2,7,1,1,1,0,0,0,0,0,0
LOC105371956,2,20,4,7,2,11,2,3,0,0,3,0,29,34,30,9,5,10,6,5,16,0,5,1
LOC105371957,16,17,17,6,0,6,0,2,0,0,0,0,10,11,15,2,6,0,39,28,14,10,45,7
LOC105371958,5,1,3,0,0,0,1,0,0,0,0,0,1,9,2,0,0,0,6,2,4,0,2,0
LOC105371959,46,45,27,17,11,22,57,58,42,34,54,68,19,36,55,10,22,12,60,53,23,75,26,131
LOC105371960,8,0,3,11,3,0,2,1,4,10,5,9,2,7,6,0,9,14,2,5,8,4,2,4
LOC105371961,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
LOC105371963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC105371965,0,0,0,0,0,1,3,3,2,6,6,0,3,7,4,0,4,3,1,2,2,4,9,6
LOC105371967,62,40,77,92,32,54,72,95,8,52,37,50,23,15,34,32,70,93,3,3,4,40,59,37
LOC105371968,0,0,3,0,1,0,0,0,0,0,0,0,5,1,4,0,2,0,0,0,0,0,0,0
LOC105371970,0,1,1,0,0,0,0,1,3,1,0,2,1,3,7,0,0,0,1,0,2,0,0,0
LOC105371972,0,0,0,0,0,0,0,0,0,0,0,0,13,17,9,0,0,0,0,0,0,3,0,0
LOC105371973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105371974,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC105371975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
LOC105371976,0,0,0,0,0,1,2,9,1,2,3,0,10,10,9,0,0,5,3,1,4,2,0,1
LOC105371980,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LOC105371981,2,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0
LOC105371982,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC105371983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105371984,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LOC105371985,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105371986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105371988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LOC105371989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105371993,8,3,2,6,5,8,0,0,0,0,3,0,1,0,0,2,1,3,4,0,0,7,2,5
LOC105371995,8,1,4,27,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
LOC105371996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105371998,17,8,35,26,15,42,37,30,26,14,43,52,33,38,55,15,21,14,78,71,87,22,11,54
LOC105372003,4,0,2,0,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,5
LOC105372004,30,33,30,26,22,49,0,0,0,0,0,0,1,2,1,0,2,6,4,8,0,14,11,32
LOC105372005,16,22,11,10,9,21,0,0,0,0,0,0,0,0,1,0,0,1,7,8,11,14,9,3
LOC105372006,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
LOC105372007,2,3,1,0,3,12,25,24,7,2,2,2,0,0,0,0,1,0,416,390,376,198,96,195
LOC105372008,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,39,33,11,17,23
LOC105372010,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,56,70,7,11,13
LOC105372016,0,0,0,0,0,0,1,1,0,1,0,0,10,6,4,0,3,3,0,0,0,0,0,0
LOC105372017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LOC105372027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372031,0,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
LOC105372035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
LOC105372036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372038,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372041,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372042,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0
LOC105372043,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
LOC105372044,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC105372045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372049,0,0,2,2,0,0,5,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0
LOC105372055,1,2,0,0,0,0,11,11,8,6,9,11,20,37,27,14,37,19,52,60,71,144,193,157
LOC105372058,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
LOC105372059,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,5
LOC105372061,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,6,9,0
LOC105372063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOC105372064,36,41,39,33,23,45,11,44,52,45,50,46,29,14,27,12,33,23,17,21,14,28,16,63
LOC105372065,0,0,1,0,0,4,1,0,4,0,0,3,3,2,8,0,2,3,0,4,6,0,2,3
LOC105372066,12,3,0,7,3,10,4,3,2,5,5,1,2,1,3,4,11,8,0,1,1,1,2,4
LOC105372068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372071,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0
LOC105372073,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,3,3,0,0,0,0,0,0
LOC105372074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372076,0,2,1,0,0,7,1,3,5,3,10,1,5,10,10,3,9,8,0,0,0,0,0,0
LOC105372077,20,5,8,6,3,4,0,3,2,0,1,2,5,3,6,3,3,4,0,0,0,0,0,0
LOC105372081,8,6,5,16,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LOC105372083,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372084,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
LOC105372085,0,0,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0
LOC105372087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372088,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0
LOC105372089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LOC105372091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372092,2,2,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4,0,2,0,2,1,0
LOC105372093,17,17,16,9,5,3,4,5,12,0,1,2,33,40,29,2,12,7,22,39,29,1,19,5
LOC105372095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LOC105372096,4,4,9,25,5,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372098,73,130,120,10,19,20,22,81,140,46,49,39,147,161,269,81,75,67,17,14,15,9,13,4
LOC105372100,41,22,19,13,15,33,0,0,0,0,0,0,3,1,5,0,0,1,0,0,0,0,2,0
LOC105372101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372105,41,33,55,29,28,76,36,51,59,227,204,240,70,83,131,54,101,117,41,80,89,30,49,75
LOC105372106,0,0,0,4,0,0,0,2,3,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0
LOC105372107,2,3,8,5,3,13,23,8,16,6,3,4,16,18,20,4,14,9,21,44,41,11,10,16
LOC105372108,0,0,0,3,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
LOC105372112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,0
LOC105372115,3,0,1,0,1,4,10,13,0,2,11,5,3,3,1,0,5,6,0,1,0,3,2,16
LOC105372116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9
LOC105372120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372121,0,0,0,0,1,2,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC105372126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
LOC105372130,249,216,210,107,76,126,12,22,7,6,14,11,303,281,451,150,206,199,7,4,2,8,2,11
LOC105372131,30,49,37,19,8,7,0,4,2,0,1,0,57,50,65,16,56,30,2,0,1,0,0,0
LOC105372132,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
LOC105372135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC105372136,0,0,3,0,0,0,0,2,2,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0
LOC105372140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372141,117,87,96,110,65,120,105,109,96,152,146,159,149,143,247,126,136,154,93,82,97,100,101,88
LOC105372143,0,1,0,0,0,4,1,1,5,1,1,1,6,7,6,3,3,1,6,2,4,1,2,1
LOC105372145,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372146,4,0,2,2,0,3,1,2,1,1,2,2,0,4,1,0,5,3,0,0,2,1,2,0
LOC105372151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372152,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
LOC105372155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372156,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0
LOC105372157,51,19,41,18,3,3,0,0,0,0,0,0,3,0,0,20,29,37,0,0,0,0,0,0
LOC105372159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LOC105372160,8,1,9,7,6,3,5,5,28,7,3,9,10,21,32,21,13,7,21,44,24,3,13,22
LOC105372161,0,0,0,0,0,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372165,15,29,21,23,12,16,5,5,3,4,5,3,1,3,0,8,4,8,13,8,9,5,9,8
LOC105372166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372169,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0
LOC105372170,16,22,25,5,11,39,0,0,0,0,0,0,12,12,19,1,2,1,0,0,0,0,0,0
LOC105372172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372179,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LOC105372180,4,0,0,14,0,9,6,7,1,4,8,4,10,16,14,2,13,21,34,28,29,9,71,8
LOC105372185,0,0,0,0,0,0,1,2,0,14,12,16,0,0,0,1,1,1,0,0,0,0,0,0
LOC105372186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372188,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
LOC105372189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372190,7,0,1,1,1,4,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,2,0
LOC105372191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372200,0,0,0,2,0,0,0,0,7,2,3,0,0,0,0,0,1,0,1,2,0,0,1,0
LOC105372201,6,1,2,0,0,0,0,0,0,7,1,3,0,0,3,1,5,0,1,0,0,1,1,0
LOC105372202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372203,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372204,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
LOC105372206,44,63,58,7,11,29,0,1,0,0,0,0,23,33,36,1,19,6,0,0,0,0,0,0
LOC105372209,51,36,57,31,30,43,6,1,0,1,0,3,37,37,45,13,28,38,0,0,0,0,0,0
LOC105372210,1013,783,814,484,267,444,13,19,2,5,6,2,287,276,369,187,179,214,2,0,2,7,2,6
LOC105372211,2,3,0,0,2,1,1,4,8,4,1,0,5,7,2,2,2,3,3,6,0,2,6,2
LOC105372212,7,17,7,33,9,11,6,10,4,63,39,48,2,0,1,23,14,9,0,0,0,17,3,14
LOC105372213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372214,1,4,1,0,0,3,2,0,13,0,4,1,4,3,7,3,3,3,5,11,2,5,0,8
LOC105372217,4,1,3,5,4,3,404,682,854,326,319,221,103,130,146,8,27,16,2095,2131,1908,635,1516,1003
LOC105372219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LOC105372221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC105372226,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0
LOC105372228,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,3,7
LOC105372234,187,146,181,169,73,152,74,92,55,33,34,23,42,49,67,23,51,46,109,101,117,44,36,40
LOC105372236,82,80,114,118,50,57,41,53,86,27,49,39,73,68,128,44,150,92,98,71,169,57,73,104
LOC105372238,18,4,12,8,9,9,3,4,7,5,1,0,5,12,15,9,5,12,20,24,15,7,24,13
LOC105372240,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,2
LOC105372242,6,2,4,4,1,1,2,2,2,0,0,0,2,3,0,0,0,1,3,0,1,0,4,0
LOC105372244,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
LOC105372245,51,46,65,62,34,48,38,55,72,93,50,83,29,33,40,54,78,98,15,26,34,89,33,40
LOC105372246,0,9,2,0,0,0,1,4,1,3,0,0,0,1,2,0,2,2,1,0,2,1,0,1
LOC105372248,0,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,3,3,1,0,0,2,6,1
LOC105372249,7,3,6,13,0,5,0,2,3,3,0,3,0,1,2,4,17,27,0,2,0,0,0,0
LOC105372250,4,2,5,2,2,5,6,2,13,5,0,1,12,2,0,6,11,12,1,3,5,1,6,0
LOC105372252,2,0,0,1,1,3,0,0,0,1,0,0,4,6,7,0,3,0,0,2,2,3,1,8
LOC105372253,24,15,28,24,9,11,2,6,0,0,0,3,6,11,0,0,2,6,7,6,4,11,8,2
LOC105372255,7,3,2,14,11,9,6,6,2,3,4,7,10,7,5,4,10,3,5,8,9,2,13,11
LOC105372256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372261,5,4,2,3,1,3,1,3,3,0,2,0,30,37,49,4,8,5,59,57,56,3,11,5
LOC105372262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372266,128,66,100,141,146,199,62,96,45,104,79,70,12,20,26,19,40,41,67,54,68,67,46,87
LOC105372268,2,4,3,0,1,5,0,0,0,1,0,0,1,1,4,0,0,0,0,7,2,2,0,1
LOC105372269,53,41,42,22,9,19,0,6,1,0,0,0,36,33,38,21,31,24,6,6,7,7,12,8
LOC105372270,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372272,7,5,4,1,2,1,2,1,3,7,3,5,1,0,1,0,0,2,6,0,5,3,2,4
LOC105372273,35,22,31,27,17,44,7,21,22,21,18,3,22,30,46,7,25,18,55,83,116,8,63,12
LOC105372279,23,11,24,13,5,7,2,4,1,4,0,2,3,1,5,0,0,0,11,7,11,7,10,1
LOC105372281,2,0,1,0,0,0,0,0,1,0,1,0,0,8,8,8,37,15,2,1,0,2,4,3
LOC105372282,1,1,0,4,2,0,0,1,1,0,0,0,3,2,2,0,5,2,1,0,1,0,2,2
LOC105372284,15,9,51,0,3,0,0,0,0,0,1,0,0,0,3,0,0,2,0,2,1,0,2,0
LOC105372291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
LOC105372295,136,95,129,81,47,97,40,67,80,30,39,34,69,85,109,38,58,49,151,153,190,80,152,51
LOC105372296,60,24,43,86,58,84,40,21,42,39,11,27,38,34,42,38,46,60,96,73,89,53,48,34
LOC105372298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372300,48,26,24,38,38,37,6,30,15,9,4,11,14,37,35,24,9,19,152,150,176,69,668,69
LOC105372308,103,77,76,42,28,54,0,0,0,0,0,0,9,7,12,13,7,11,14,13,10,29,21,54
LOC105372309,16,13,11,13,1,1,0,0,0,0,0,0,8,9,25,3,0,0,7,25,11,6,5,5
LOC105372310,1736,1264,1281,1931,1105,2050,410,431,147,496,479,466,626,658,721,758,1209,1462,1148,802,853,1323,878,1089
LOC105372314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372316,4,5,7,1,1,3,0,0,0,0,0,0,41,38,41,10,17,11,0,0,1,0,5,1
LOC105372317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372318,7,0,3,0,0,0,0,0,0,0,0,0,20,24,32,0,2,1,4,6,5,1,1,0
LOC105372319,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,8
LOC105372321,583,530,361,1046,1163,2561,0,0,0,0,0,0,11,2,15,67,95,94,14,26,15,4,57,22
LOC105372323,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,1,1,0,0,0
LOC105372324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372325,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,1,0
LOC105372326,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
LOC105372330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372335,1,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372337,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
LOC105372338,1840,1127,1578,367,524,1343,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,8,0,1
LOC105372339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372345,3,1,3,0,1,0,1,5,4,0,2,1,0,2,0,2,1,1,0,1,0,0,0,0
LOC105372346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
LOC105372347,0,0,0,0,0,0,0,4,14,0,2,2,5,1,3,0,1,2,2,1,3,0,0,0
LOC105372348,0,0,1,0,0,0,0,7,5,2,0,0,1,2,2,0,0,0,1,0,2,0,0,0
LOC105372349,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LOC105372353,24,29,42,14,11,24,13,37,5,6,17,15,21,9,18,28,50,58,25,17,18,24,37,5
LOC105372354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
LOC105372355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372356,7,10,4,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,5,0
LOC105372358,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,0,0,0,2,0
LOC105372361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372370,1,3,0,2,2,3,26,25,14,14,12,15,13,10,7,8,16,15,3,9,14,18,26,13
LOC105372371,0,0,1,0,0,0,0,0,0,0,0,0,27,34,35,79,37,24,0,0,0,0,0,0
LOC105372374,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LOC105372377,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372379,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0
LOC105372380,13,7,9,25,2,1,5,2,8,0,0,3,17,16,13,3,0,8,35,36,38,12,37,7
LOC105372383,15,8,5,2,0,0,2,11,0,8,0,1,7,6,6,0,3,1,2,2,8,6,6,0
LOC105372385,6,5,5,13,3,6,8,8,5,1,0,3,2,7,6,7,8,4,6,8,9,7,19,8
LOC105372390,36,39,35,4,3,12,18,21,11,5,20,7,8,6,22,2,4,5,60,75,53,14,13,14
LOC105372394,10,5,1,12,0,4,2,2,4,3,1,3,4,10,2,6,12,10,14,15,16,30,42,44
LOC105372395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LOC105372396,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3
LOC105372399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372401,93,56,74,141,83,153,21,17,18,12,8,9,59,65,69,31,73,66,66,72,79,30,63,21
LOC105372404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105372407,7,7,18,7,1,4,6,14,48,10,10,19,19,27,25,22,18,20,28,38,44,66,171,77
LOC105372411,95,79,133,134,73,99,100,113,56,58,23,52,49,32,66,40,50,42,29,18,35,19,9,19
LOC105372412,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
LOC105372420,7,15,3,3,0,0,1,5,5,7,0,0,0,1,5,0,0,0,1,13,7,0,6,0
LOC105372421,15,18,22,3,2,3,4,9,12,12,3,9,17,20,10,5,12,9,24,27,25,20,34,8
LOC105372424,9,8,9,12,0,7,0,3,0,0,0,0,0,8,8,0,4,9,2,0,2,1,0,6
LOC105372426,545,493,530,316,255,472,262,296,272,162,236,146,373,436,578,210,340,308,376,395,416,228,165,386
